tokenId,owner,yETHBalance,yETHxBalance
45,0x654Fb39E9D11b5512055720A16e2Eda2a158Cc60,0,0
46,0xC421E0d5aC5Df6D783dD5b2F021Dc98e3dE6a4a4,0,0
47,0x02d489Cfdf7B406630263Ed659c0E0449c6C1C0C,0,0
48,0xf7Bd34Dd44B92fB2f9C3D2e31aAAd06570a853A6,0.001,0
49,0xC2D201037bDF8F7fe905F1073106Bf4385b65A6f,0.002891944049699781,0
50,0xDAa094A0Ed166FeDF8a0a4310f3F74a1e96F9195,0,0
51,0xAAc0aa431c237C2C0B5f041c8e59B3f1a43aC78F,0,0
52,0xe6882e6093a69c47FC21426c2DFdB4A08eB2dEC8,0,0
53,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
54,0xE6DA683076b7eD6ce7eC972f21Eb8F91e9137a17,0,0
55,0x1C277bD41A276F87D3E92bccD50c7364aa2FFc69,0,0
56,0xE9d10F9556B3e7c0e049Ae09e38aEf973BDF8FaC,0,0
57,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
58,0x0b98718264cA14d0A17C145FfE1e4F3c38a39372,0,0
59,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
60,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
61,0xA5564d22c8b18015Fd1A73f4A0665cD67396cDc0,0,0
62,0x2247e9b5Accd54c7B8BB7b2462ed3010007eeD64,0,0
63,0x4dAf8ce9D729ca4F121381ec4B22123627C1C004,0,0
64,0x2247e9b5Accd54c7B8BB7b2462ed3010007eeD64,0,0
65,0x2247e9b5Accd54c7B8BB7b2462ed3010007eeD64,0,0
66,0x55F5843236D2e95E68E58cB05a43a09fa7745657,0,0
67,0x55F5843236D2e95E68E58cB05a43a09fa7745657,0,0
68,0x55F5843236D2e95E68E58cB05a43a09fa7745657,0,0
69,0x55F5843236D2e95E68E58cB05a43a09fa7745657,0,0
70,0x48C26fADfeFbE063b1773aF4732565bcB55Adc64,0,0
71,0xA742A54E0b9Cd1Cac03c8F569bA4C606694261f9,0,0
72,0x4Db01E01782c4aF89586f5052592b5Fa89dE259F,0,0
73,0x4Db01E01782c4aF89586f5052592b5Fa89dE259F,0,0
74,0xCF4b8bB80E3a01D79b41482B0485F4576cA7B983,0,0
75,0xCF4b8bB80E3a01D79b41482B0485F4576cA7B983,0,0
76,0xC780F5C7eb59614646f78d0902527690BD16D921,0,0
77,0xC780F5C7eb59614646f78d0902527690BD16D921,0,0
78,0xF9809ce9761FfABE887C4758E045a6a21e627dBc,0,0
79,0xB21731D830b7e8460E5D6c66Dc1CcC0A5D0A6B87,0,0
80,0x48C26fADfeFbE063b1773aF4732565bcB55Adc64,0,0
81,0x02fEb744cA516FD6E41D940Ae2d0F7Cb6FCB1ac3,0,0
82,0x4Db01E01782c4aF89586f5052592b5Fa89dE259F,0,0
83,0x348B3ccAC1F8B763b19E91f5fBA71B85Dc305655,0.000170892341941254,0
84,0x4Db01E01782c4aF89586f5052592b5Fa89dE259F,0,0
85,0x348B3ccAC1F8B763b19E91f5fBA71B85Dc305655,0.000170892341941254,0
86,0x3fbc50025842393d789769fF580981d6d98E269B,0,0
87,0x5E827635F1cf30cAC8AB562f801Ce3CfE15A12D3,0,0
88,0x3D7EbE72E6C787434d98846516BB9ab7Fa160EbF,0,0
89,0x2E7a139A3800d78e9A23d44dA2c40a9AA78D6D59,0.009794535278484078,0
90,0xA12aC5088dE5c394505D3dEd4c2B5f2A81858753,0,0
91,0xA12aC5088dE5c394505D3dEd4c2B5f2A81858753,0,0
92,0xA12aC5088dE5c394505D3dEd4c2B5f2A81858753,0,0
93,0xA12aC5088dE5c394505D3dEd4c2B5f2A81858753,0,0
94,0xd9D2E1889ebBDac281732B923ABd762C700DD26F,0,0
95,0x36bFF079a4532C2F818a65c6ad208cEA587417e7,0,0
96,0xD2e1BdD5Fb6177Ca4ab9f31f3442c0aadE020F71,0,0
97,0xd7dE33E423662093dceA634866d245FDbc414Ceb,0,0
98,0x02984E409a3270DB46FeDBA6b2E23A60E6D13b62,0,0
99,0xB577517FB7A0A174551d6933c7Ff2F0EEA3004b6,0,0
100,0xccBF601eB2f5AA2D5d68b069610da6F1627D485d,0,0
101,0xC1BD21eCd832ef3c3b1a393a0D66dD2B92c0a944,0,0
102,0xb82bE987cF6f25d0F040Ca4567e3dacb4b92Aa91,0,0
103,0xda51A9b56d69A194083025eAc9c4c24452848e01,0,0
104,0xd6f631C796a56A5d448Dd88a01f15058c4A0Be52,0,0
105,0x172DE57f1be25d64E6D8d078B6779237126ecd13,0.022863617402832333,0
106,0x2f5c8E25518F06254DB95eFA4282AF516E310D08,0,0
107,0xE6DA683076b7eD6ce7eC972f21Eb8F91e9137a17,0,0
108,0xDd431129ad3520c4be1C2173Dc799815D0b8EE21,0,0
109,0xf8Ed473803bC8D7d9Ea5edbFe79487198B7Ee0FD,0,0
110,0x21d446fb59466800B44143e821ab07D4f28f8D1a,0,0
111,0x3d5AD53df00967702B4f5135f360c1c3DB433579,0,0
112,0x511432a0Ca35EA7a3874290872333b8b719280FC,0,0
113,0xac844ADA82F3d0241533d827ebF84deb89617792,0,0
114,0x68011367F4a38a2478c7B02e78E5775F2D0BCf46,0,0
115,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
116,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
117,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
118,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
119,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
120,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
121,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
122,0x56376d75943EEB7405285E0ba37C26897dc17037,0,0
123,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
124,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
125,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
126,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
127,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
128,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
129,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
130,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
131,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
132,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
133,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
134,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
135,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
136,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
137,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
138,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
139,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
140,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
141,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
142,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
143,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
144,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
145,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
146,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
147,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
148,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
149,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
150,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
151,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
152,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
153,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
154,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
155,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
156,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
157,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
158,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
159,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
160,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
161,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
162,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
163,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
164,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
165,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
166,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
167,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
168,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
169,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
170,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
171,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
172,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
173,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
174,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
175,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
